title;measurement_unit;type_id;param_id;param_value;list_id
Внеоборотные активы;тыс. руб.;1;100;172565,00;2
основные средства;тыс. руб.;1;101;151917,00;2
незавершенное строительство;тыс. руб.;1;102;2382,00;2
долгосрочные финансовые вложения;тыс. руб.;1;103;15235,00;2
отложенные налоговые активы;тыс. руб.;1;104;3031,00;2
Оборотные активы;тыс. руб.;1;105;212763,00;2
запасы;тыс. руб.;1;106;146225,00;2
НДС;тыс. руб.;1;107;945,00;2
дебиторская задолженность;тыс. руб.;1;108;38581,00;2
краткосрочные финансовые вложения;тыс. руб.;1;109;200,00;2
денежные средства;тыс. руб.;1;110;26812,00;2
Собственный капитал;тыс. руб.;1;111;310939,00;2
Долгосрочные обязательства;тыс. руб.;1;112;8498,00;2
Заемные средства;тыс. руб.;1;113;21600,00;2
Кредиторская задолженность;тыс. руб.;1;114;41459,00;2
Резервы предстоящих расходов;тыс. руб.;1;115;2832,00;2
Коэффициент абсолютной ликвидности;;2;200;1,25;2
Коэффициент быстрой (промежуточной) ликвидности;;2;201;3,04;2
Коэффициент текущей (общей) ликвидности ;;2;202;3,37;2
Чистые оборотные активы (капитал);тыс. руб.;2;203;191163,00;2
Коэффициент капитализации;;3;300;0,07;2
Коэффициент финансовой независимости ;;3;301;0,40;2
Коэффициент финансирования ;;3;302;14,40;2
Коэффициент финансовой устойчивости  ;;3;303;0,41;2
